,time,open,high,low,close
0,2017-12-20,3100.0,9500.0,3100.0,3825.93
1,2017-12-21,3825.95,3849.93,2910.0,3188.23
2,2017-12-22,3188.24,3252.65,1550.0,3070.0
3,2017-12-23,3070.0,3499.77,2555.0,3252.01
4,2017-12-24,3250.0,3279.85,2669.0,2886.0
5,2017-12-25,2886.0,2968.16,2761.0,2834.01
6,2017-12-26,2834.01,2949.0,2773.88,2856.93
7,2017-12-27,2856.93,2948.0,2542.0,2691.01
8,2017-12-28,2691.01,2731.0,2303.0,2458.61
9,2017-12-29,2464.59,2888.0,2330.59,2746.56
10,2017-12-30,2748.3,2818.0,2187.0,2338.51
11,2017-12-31,2338.49,2497.99,2207.91,2402.55
12,2018-01-01,2402.46,2425.68,2257.01,2342.52
13,2018-01-02,2347.29,2696.0,2301.67,2561.65
14,2018-01-03,2564.97,2780.0,2519.05,2527.0
15,2018-01-04,2526.96,2555.0,2328.86,2351.29
16,2018-01-05,2354.77,2512.0,2310.02,2407.96
17,2018-01-06,2407.79,2624.97,2325.0,2491.76
18,2018-01-07,2491.62,2745.01,2480.0,2559.01
19,2018-01-08,2559.0,2559.01,2225.0,2391.0
20,2018-01-09,2391.01,2484.82,2332.13,2350.49
21,2018-01-10,2350.49,2951.2,2311.0,2855.32
22,2018-01-11,2855.0,2956.0,2351.0,2401.99
23,2018-01-12,2402.0,2630.0,2377.01,2585.19
24,2018-01-13,2585.19,2835.18,2564.69,2656.85
25,2018-01-14,2656.84,2711.64,2463.14,2542.59
26,2018-01-15,2542.6,2550.0,2375.0,2459.87
27,2018-01-16,2459.87,2459.87,1520.0,1750.0
28,2018-01-17,1749.99,2150.0,1319.3,1728.49
29,2018-01-18,1728.67,2020.18,1638.54,1751.02
30,2018-01-19,1751.0,1892.0,1700.0,1734.99
31,2018-01-20,1732.99,2115.82,1727.74,2039.54
32,2018-01-21,2039.55,2040.0,1714.08,1725.78
33,2018-01-22,1725.79,1799.0,1505.08,1598.0
34,2018-01-23,1597.99,1687.69,1489.0,1652.48
35,2018-01-24,1652.48,1667.0,1560.0,1615.02
36,2018-01-25,1615.02,1695.0,1584.0,1649.47
37,2018-01-26,1649.31,1660.0,1482.34,1552.99
38,2018-01-27,1553.0,1645.0,1553.0,1624.7
39,2018-01-28,1625.0,1717.0,1600.35,1714.43
40,2018-01-29,1714.43,1721.2,1610.0,1620.9
41,2018-01-30,1620.89,1638.01,1440.0,1477.1
42,2018-01-31,1477.02,1515.0,1381.0,1450.0
43,2018-02-01,1450.0,1481.43,1168.39,1243.17
44,2018-02-02,1243.16,1270.46,927.04,1178.01
45,2018-02-03,1181.77,1319.99,1052.0,1262.45
46,2018-02-04,1262.61,1283.96,1090.03,1164.8
47,2018-02-05,1162.12,1169.76,800.47,881.7
48,2018-02-06,881.7,980.0,744.8,948.0
49,2018-02-07,948.0,1057.64,897.4,1000.0
50,2018-02-08,1000.01,1353.29,942.51,1312.27
51,2018-02-09,1312.99,1334.96,1187.73,1292.75
52,2018-02-10,1292.75,1387.78,1198.01,1241.91
53,2018-02-11,1241.91,1296.49,1182.1,1248.99
54,2018-02-12,1248.98,1288.82,1202.0,1272.5
55,2018-02-13,1272.5,1288.05,1200.0,1219.57
56,2018-02-14,1219.84,1378.88,1213.38,1352.05
57,2018-02-15,1352.04,1394.0,1308.44,1362.74
58,2018-02-16,1363.08,1550.0,1354.69,1495.37
59,2018-02-17,1495.38,1552.0,1495.23,1527.77
60,2018-02-18,1527.77,1644.0,1393.43,1475.01
61,2018-02-19,1475.01,1545.0,1446.29,1516.0
62,2018-02-20,1516.0,1555.0,1256.0,1427.15
63,2018-02-21,1427.15,1427.15,1266.0,1284.99
64,2018-02-22,1284.98,1341.66,1170.14,1205.99
65,2018-02-23,1205.99,1309.98,1144.04,1260.02
66,2018-02-24,1260.0,1297.01,1132.01,1153.99
67,2018-02-25,1153.07,1229.0,1137.1,1189.98
68,2018-02-26,1189.98,1267.0,1142.31,1252.25
69,2018-02-27,1251.24,1297.72,1206.65,1246.06
70,2018-02-28,1246.06,1274.1,1196.3,1211.97
71,2018-03-01,1210.99,1295.0,1185.28,1281.0
72,2018-03-02,1280.99,1295.0,1250.0,1279.99
73,2018-03-03,1280.0,1294.96,1255.07,1262.08
74,2018-03-04,1262.08,1277.5,1221.0,1277.49
75,2018-03-05,1277.5,1287.0,1249.97,1265.01
76,2018-03-06,1265.0,1270.0,1171.31,1209.52
77,2018-03-07,1210.98,1220.0,1031.07,1105.58
78,2018-03-08,1103.66,1116.99,988.77,1022.66
79,2018-03-09,1022.65,1049.99,927.0,1045.0
80,2018-03-10,1045.0,1094.55,991.5,1001.52
81,2018-03-11,1001.52,1157.54,970.0,1131.41
82,2018-03-12,1131.41,1148.0,1007.47,1039.49
83,2018-03-13,1040.49,1100.0,995.55,1059.46
84,2018-03-14,1059.01,1071.81,911.88,935.01
85,2018-03-15,935.01,958.3,871.53,949.99
86,2018-03-16,950.0,1059.66,893.49,996.0
87,2018-03-17,996.0,1028.85,927.0,969.75
88,2018-03-18,969.75,972.34,845.0,921.94
89,2018-03-19,923.28,998.0,912.57,976.24
90,2018-03-20,976.24,1071.85,950.0,1060.0
91,2018-03-21,1060.0,1080.0,1003.21,1021.85
92,2018-03-22,1021.96,1066.5,986.0,1009.4
93,2018-03-23,1009.4,1017.0,958.92,1000.93
94,2018-03-24,1000.93,1034.4,985.5,989.9
95,2018-03-25,989.91,989.91,967.11,970.01
96,2018-03-26,970.01,976.93,883.37,921.0
97,2018-03-27,921.0,929.78,877.99,894.64
98,2018-03-28,893.61,896.5,847.64,858.4
99,2018-03-29,858.4,868.29,693.0,719.38
100,2018-03-30,718.52,771.57,673.02,688.69
