,time,open,high,low,close
0,2016-08-17,3.62,3.62,3.62,3.62
1,2016-08-18,3.62,3.7,3.62,3.7
2,2016-08-19,3.7,4.0,3.7,4.0
3,2016-08-20,4.0,4.0,4.0,4.0
4,2016-08-21,4.0,4.0,4.0,4.0
5,2016-08-22,4.0,4.0,3.99,3.99
6,2016-08-23,3.99,5.49,3.61,3.96
7,2016-08-24,3.95,3.96,3.61,3.87
8,2016-08-25,3.87,3.88,3.75,3.82
9,2016-08-26,3.82,3.9,3.77,3.84
10,2016-08-27,3.84,3.85,3.62,3.78
11,2016-08-28,3.78,3.78,3.62,3.78
12,2016-08-29,3.72,3.84,3.7,3.77
13,2016-08-30,3.77,3.85,3.74,3.81
14,2016-08-31,3.81,3.85,3.74,3.74
15,2016-09-01,3.74,3.9,3.26,3.81
16,2016-09-02,3.81,4.35,3.65,3.84
17,2016-09-03,3.84,3.99,3.8,3.99
18,2016-09-04,3.99,4.08,3.85,4.02
19,2016-09-05,4.02,4.07,3.94,3.95
20,2016-09-06,3.95,3.98,3.91,3.91
21,2016-09-07,3.91,4.03,3.91,3.96
22,2016-09-08,3.96,4.03,3.95,3.97
23,2016-09-09,3.97,4.02,3.94,3.96
24,2016-09-10,3.96,4.0,3.95,3.96
25,2016-09-11,3.96,4.04,3.86,3.92
26,2016-09-12,3.91,3.96,3.77,3.86
27,2016-09-13,3.86,3.89,3.8,3.81
28,2016-09-14,3.81,3.85,3.8,3.85
29,2016-09-15,3.85,3.95,3.81,3.81
30,2016-09-16,3.85,3.89,3.8,3.81
31,2016-09-17,3.81,3.88,3.81,3.82
32,2016-09-18,3.82,3.87,3.81,3.87
33,2016-09-19,3.87,3.93,3.8,3.86
34,2016-09-20,3.85,4.0,3.76,3.84
35,2016-09-21,3.84,6.72,3.61,3.83
36,2016-09-22,3.76,5.05,3.76,3.79
37,2016-09-23,3.79,4.2,3.77,3.83
38,2016-09-24,3.83,4.06,3.83,3.84
39,2016-09-25,3.85,3.91,3.8,3.8
40,2016-09-26,3.8,4.0,3.79,3.84
41,2016-09-27,3.86,3.92,3.79,3.83
42,2016-09-28,3.85,3.9,3.79,3.82
43,2016-09-29,3.82,3.88,3.81,3.84
44,2016-09-30,3.86,3.87,3.8,3.83
45,2016-10-01,3.83,3.86,3.81,3.85
46,2016-10-02,3.85,3.86,3.82,3.83
47,2016-10-03,3.83,3.94,3.83,3.83
48,2016-10-04,3.83,3.9,3.81,3.81
49,2016-10-05,3.85,3.91,3.79,3.86
50,2016-10-06,3.86,3.88,3.78,3.82
51,2016-10-07,3.82,3.87,3.8,3.83
52,2016-10-08,3.82,3.88,3.8,3.86
53,2016-10-09,3.86,3.86,3.8,3.8
54,2016-10-10,3.8,3.84,3.79,3.82
55,2016-10-11,3.79,3.84,3.75,3.8
56,2016-10-12,3.83,3.83,3.79,3.8
57,2016-10-13,3.8,3.93,3.8,3.83
58,2016-10-14,3.83,3.92,3.82,3.89
59,2016-10-15,3.82,3.94,3.82,3.93
60,2016-10-16,3.92,3.94,3.86,3.89
61,2016-10-17,3.89,3.94,3.84,3.86
62,2016-10-18,3.86,3.9,3.8,3.87
63,2016-10-19,3.86,3.91,3.79,3.79
64,2016-10-20,3.79,3.81,3.78,3.8
65,2016-10-21,3.8,3.81,3.75,3.78
66,2016-10-22,3.79,3.88,3.75,3.81
67,2016-10-23,3.84,3.89,3.7,3.88
68,2016-10-24,3.88,3.89,3.82,3.87
69,2016-10-25,3.82,3.88,3.8,3.85
70,2016-10-26,3.85,3.96,3.76,3.94
71,2016-10-27,3.89,4.14,3.89,3.99
72,2016-10-28,3.99,4.02,3.88,3.9
73,2016-10-29,3.9,4.24,3.9,4.24
74,2016-10-30,4.24,4.25,4.0,4.0
75,2016-10-31,4.0,4.07,3.92,3.98
76,2016-11-01,3.98,4.5,3.92,4.02
77,2016-11-02,4.12,4.35,3.99,4.07
78,2016-11-03,4.07,4.34,3.8,3.9
79,2016-11-04,3.89,3.98,3.77,3.89
80,2016-11-05,3.88,3.94,3.86,3.87
81,2016-11-06,3.87,3.93,3.85,3.91
82,2016-11-07,3.91,3.92,3.83,3.83
83,2016-11-08,3.88,3.91,3.84,3.9
84,2016-11-09,3.9,3.99,3.77,3.84
85,2016-11-10,3.84,3.98,3.79,3.8
86,2016-11-11,3.8,3.86,3.79,3.8
87,2016-11-12,3.85,3.85,3.72,3.75
88,2016-11-13,3.77,3.94,3.65,3.86
89,2016-11-14,3.9,3.91,3.81,3.87
90,2016-11-15,3.87,3.96,3.84,3.87
91,2016-11-16,3.92,4.06,3.86,3.86
92,2016-11-17,3.95,3.97,3.81,3.9
93,2016-11-18,3.9,3.95,3.85,3.87
94,2016-11-19,3.87,3.99,3.85,3.92
95,2016-11-20,3.92,3.99,3.86,3.89
96,2016-11-21,3.89,3.93,3.87,3.93
97,2016-11-22,3.93,3.99,3.88,3.91
98,2016-11-23,3.9,3.97,3.87,3.9
99,2016-11-24,3.89,3.93,3.86,3.9
100,2016-11-25,3.9,3.91,3.85,3.87
101,2016-11-26,3.9,3.91,3.81,3.86
102,2016-11-27,3.86,3.89,3.82,3.87
103,2016-11-28,3.87,3.92,3.81,3.85
104,2016-11-29,3.84,3.91,3.81,3.84
105,2016-11-30,3.83,3.98,3.51,3.85
106,2016-12-01,3.85,3.89,3.84,3.88
107,2016-12-02,3.88,3.94,3.87,3.94
108,2016-12-03,3.93,3.94,3.87,3.87
109,2016-12-04,3.9,3.92,3.86,3.86
110,2016-12-05,3.9,3.91,3.32,3.5
111,2016-12-06,3.52,3.58,3.42,3.52
112,2016-12-07,3.53,3.86,3.49,3.67
113,2016-12-08,3.67,3.77,3.63,3.68
114,2016-12-09,3.68,3.74,3.61,3.74
115,2016-12-10,3.74,3.74,3.63,3.66
116,2016-12-11,3.7,3.7,3.61,3.64
117,2016-12-12,3.67,3.69,3.62,3.67
118,2016-12-13,3.64,3.68,3.62,3.65
119,2016-12-14,3.62,3.66,3.6,3.6
120,2016-12-15,3.6,3.7,3.5,3.5
121,2016-12-16,3.5,3.68,3.5,3.64
122,2016-12-17,3.64,3.72,3.6,3.72
123,2016-12-18,3.71,3.73,3.62,3.62
124,2016-12-19,3.62,3.71,3.61,3.66
125,2016-12-20,3.66,3.69,3.61,3.62
126,2016-12-21,3.65,3.91,3.62,3.65
127,2016-12-22,3.65,3.88,3.62,3.69
128,2016-12-23,3.69,4.39,3.65,4.39
129,2016-12-24,4.39,5.14,4.2,4.47
130,2016-12-25,4.47,4.49,4.08,4.3
131,2016-12-26,4.3,4.37,4.13,4.22
132,2016-12-27,4.23,4.52,4.18,4.33
133,2016-12-28,4.33,4.6,4.3,4.5
134,2016-12-29,4.53,5.0,4.4,4.69
135,2016-12-30,4.68,4.69,4.21,4.38
136,2016-12-31,4.35,4.48,4.28,4.35
137,2017-01-01,4.36,4.57,4.34,4.51
138,2017-01-02,4.51,4.9,4.4,4.59
139,2017-01-03,4.56,4.65,4.42,4.55
140,2017-01-04,4.54,5.99,4.45,4.54
141,2017-01-05,4.6,5.99,3.88,4.23
142,2017-01-06,4.24,4.39,3.83,3.87
143,2017-01-07,3.87,4.49,3.66,3.98
144,2017-01-08,3.99,4.4,3.99,4.03
145,2017-01-09,4.03,4.4,3.89,4.4
146,2017-01-10,4.39,4.75,4.04,4.65
147,2017-01-11,4.65,4.68,3.93,4.05
148,2017-01-12,4.02,4.14,3.79,4.0
149,2017-01-13,4.06,4.06,3.9,3.97
150,2017-01-14,3.96,4.25,3.92,4.0
151,2017-01-15,4.0,4.1,3.95,3.97
152,2017-01-16,3.97,3.98,3.88,3.88
153,2017-01-17,3.88,4.16,3.87,3.95
154,2017-01-18,3.93,3.95,3.81,3.89
